,image_id,image_url,label,label_numeric,category,gender,age_group,source,fake_method,image_quality,resolution,confidence_score,detection_difficulty,dataset_split,date_collected,version,year,image_path
0,1,https://images.unsplash.com/photo-1724225618359-a1d2763326f9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwxfHxodW1hbiUyMGZhY2UlMjBwb3J0cmFpdHxlbnwwfHx8fDE3NzgwNjQ2ODd8MA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,18-25,Unsplash,,High,1080x1080,0.96,Easy,train,2026-04-24,v2.0,2026,dataset/working_images/0.jpg
1,2,https://images.unsplash.com/photo-1724225618735-075be4f96a63?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwyfHxodW1hbiUyMGZhY2UlMjBwb3J0cmFpdHxlbnwwfHx8fDE3NzgwNjQ2ODd8MA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,50+,Unsplash,,High,1080x1080,0.97,Easy,train,2026-04-04,v2.0,2026,dataset/working_images/1.jpg
3,4,https://images.unsplash.com/photo-1724225618557-cd687a6d2523?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw0fHxodW1hbiUyMGZhY2UlMjBwb3J0cmFpdHxlbnwwfHx8fDE3NzgwNjQ2ODd8MA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,26-35,Unsplash,,High,1080x1080,0.89,Easy,train,2026-02-20,v2.0,2026,dataset/working_images/3.jpg
4,5,https://images.unsplash.com/photo-1724225618238-d03fc678f848?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw1fHxodW1hbiUyMGZhY2UlMjBwb3J0cmFpdHxlbnwwfHx8fDE3NzgwNjQ2ODd8MA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,36-50,Unsplash,,High,1080x1080,0.86,Easy,train,2026-04-12,v2.0,2026,dataset/working_images/4.jpg
8,9,https://images.unsplash.com/photo-1724225618338-a2525076e0e2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw5fHxodW1hbiUyMGZhY2UlMjBwb3J0cmFpdHxlbnwwfHx8fDE3NzgwNjQ2ODd8MA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,26-35,Unsplash,,High,1080x1080,0.94,Easy,train,2026-02-26,v2.0,2026,dataset/working_images/8.jpg
9,10,https://images.unsplash.com/photo-1724225618730-9df5194c68a7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwxMHx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0Njg3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,26-35,Unsplash,,High,1080x1080,0.88,Easy,train,2026-02-09,v2.0,2026,dataset/working_images/9.jpg
10,11,https://images.unsplash.com/photo-1724225618124-0f0d51cf33f4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwxMXx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0Njg3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,26-35,Unsplash,,High,1080x1080,0.97,Easy,train,2026-02-13,v2.0,2026,dataset/working_images/10.jpg
11,12,https://images.unsplash.com/photo-1724225618062-b1f26758f9f5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwxMnx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0Njg3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,26-35,Unsplash,,High,1080x1080,0.89,Easy,train,2026-02-09,v2.0,2026,dataset/working_images/11.jpg
14,15,https://images.unsplash.com/photo-1724225618644-2e08d79dac74?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwxNXx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0Njg3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,26-35,Unsplash,,High,1080x1080,0.88,Easy,train,2026-02-24,v2.0,2026,dataset/working_images/14.jpg
15,16,https://images.unsplash.com/photo-1724225618183-359e8cbd00b9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwxNnx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0Njg3fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,36-50,Unsplash,,High,1080x1080,0.92,Easy,train,2026-01-09,v2.0,2026,dataset/working_images/15.jpg
